uid,password,display name,email,first name,last name,members
connection01,icautobvt@1bm,icguig2_conn01,icguig2_conn01@isc4sb.com,Icguig2,Conn01,Connections
connection02,icautobvt@1bm,Icguig2 Conn02,icguig2_conn02@isc4sb.com,Icguig2,Conn02,Connections
connection03,icautobvt@1bm,Icguig2 Conn03,icguig2_conn03@isc4sb.com,Icguig2,Conn03,Connections
connection04,icautobvt@1bm,Icguig2 Conn04,icguig2_conn04@isc4sb.com,Icguig2,Conn04,Connections
connection05,icautobvt@1bm,Icguig2 Conn05,icguig2_conn05@isc4sb.com,Icguig2,Conn05,Connections
connection06,icautobvt@1bm,Icguig2 Conn06,icguig2_conn06@isc4sb.com,Icguig2,Conn06,Connections
connection07,icautobvt@1bm,Icguig2 Conn07,icguig2_conn07@isc4sb.com,Icguig2,Conn07,Connections
connection08,icautobvt@1bm,Icguig2 Conn08,icguig2_conn08@isc4sb.com,Icguig2,Conn08,Connections
connection09,icautobvt@1bm,Icguig2 Conn09,icguig2_conn09@isc4sb.com,Icguig2,Conn09,Connections
connection10,icautobvt@1bm,Icguig2 Conn10,icguig2_conn10@isc4sb.com,Icguig2,Conn10,Connections
connection11,icautobvt@1bm,Icguig2 Conn11,icguig2_conn11@isc4sb.com,Icguig2,Conn11,Connections
connection12,icautobvt@1bm,Icguig2 Conn12,icguig2_conn12@isc4sb.com,Icguig2,Conn12,Connections
connection13,icautobvt@1bm,Icguig2 Conn13,icguig2_conn13@isc4sb.com,Icguig2,Conn13,Connections
connection14,icautobvt@1bm,Icguig2 Conn14,icguig2_conn14@isc4sb.com,Icguig2,Conn14,Connections
connection15,icautobvt@1bm,Icguig2 Conn15,icguig2_conn15@isc4sb.com,Icguig2,Conn15,Connections
connection16,icautobvt@1bm,Icguig2 Conn16,icguig2_conn16@isc4sb.com,Icguig2,Conn16,Connections
connection17,icautobvt@1bm,Icguig2 Conn17,icguig2_conn17@isc4sb.com,Icguig2,Conn17,Connections
connection18,icautobvt@1bm,Icguig2 Conn18,icguig2_conn18@isc4sb.com,Icguig2,Conn18,Connections
connection19,icautobvt@1bm,Icguig2 Conn19,icguig2_conn19@isc4sb.com,Icguig2,Conn19,Connections
connection20,icautobvt@1bm,Icguig2 Conn20,icguig2_conn20@isc4sb.com,Icguig2,Conn20,Connections
#admin,passw0rd-TJB,G2 Admin0613,g2admin0613@yopmail.com,G2,Admin0613,Admin
engage01,icautobvt@1bm,Icguig2 Eng01,icguig2_eng01@isc4sb.com,Icguig2,Eng01,Engage
engage02,icautobvt@1bm,Icguig2 Eng02,icguig2_eng02@isc4sb.com,Icguig2,Eng02,Engage
engage03,icautobvt@1bm,Icguig2 Eng03,icguig2_eng03@isc4sb.com,Icguig2,Eng03,Engage
engage04,icautobvt@1bm,Icguig2 Eng04,icguig2_eng04@isc4sb.com,Icguig2,Eng04,Engage
engage05,icautobvt@1bm,Icguig2 Eng05,icguig2_eng05@isc4sb.com,Icguig2,Eng05,Engage
engage06,icautobvt@1bm,Icguig2 Eng06,icguig2_eng06@isc4sb.com,Icguig2,Eng06,Engage
engage07,icautobvt@1bm,Icguig2 Eng07,icguig2_eng07@isc4sb.com,Icguig2,Eng07,Engage
engage08,icautobvt@1bm,Icguig2 Eng08,icguig2_eng08@isc4sb.com,Icguig2,Eng08,Engage
engage09,icautobvt@1bm,Icguig2 Eng09,icguig2_eng09@isc4sb.com,Icguig2,Eng09,Engage
engage10,icautobvt@1bm,Icguig2 Eng10,icguig2_eng10@isc4sb.com,Icguig2,Eng10,Engage
