uid,password,display name,email,first name,last name,members
connection01,icautobvt@1bm,Icguiacdev Conn01,icguiacdev_conn01@bluebox.lotus.com,Icguiacdev,Conn01,Connections
connection02,icautobvt@1bm,Icguiacdev Conn02,icguiacdev_conn02@bluebox.lotus.com,Icguiacdev,Conn02,Connections
connection03,icautobvt@1bm,Icguiacdev Conn03,icguiacdev_conn03@bluebox.lotus.com,Icguiacdev,Conn03,Connections
connection04,icautobvt@1bm,Icguiacdev Conn04,icguiacdev_conn04@bluebox.lotus.com,Icguiacdev,Conn04,Connections
connection05,icautobvt@1bm,Icguiacdev Conn05,icguiacdev_conn05@bluebox.lotus.com,Icguiacdev,Conn05,Connections
connection06,icautobvt@1bm,Icguiacdev Conn06,icguiacdev_conn06@bluebox.lotus.com,Icguiacdev,Conn06,Connections
connection07,icautobvt@1bm,Icguiacdev Conn07,icguiacdev_conn07@bluebox.lotus.com,Icguiacdev,Conn07,Connections
connection08,icautobvt@1bm,Icguiacdev Conn08,icguiacdev_conn08@bluebox.lotus.com,Icguiacdev,Conn08,Connections
connection09,icautobvt@1bm,Icguiacdev Conn09,icguiacdev_conn09@bluebox.lotus.com,Icguiacdev,Conn09,Connections
connection10,icautobvt@1bm,Icguiacdev Conn10,icguiacdev_conn10@bluebox.lotus.com,Icguiacdev,Conn10,Connections
connection11,icautobvt@1bm,Icguiacdev Conn11,icguiacdev_conn11@bluebox.lotus.com,Icguiacdev,Conn11,Connections
connection12,icautobvt@1bm,Icguiacdev Conn12,icguiacdev_conn12@bluebox.lotus.com,Icguiacdev,Conn12,Connections
connection13,icautobvt@1bm,Icguiacdev Conn13,icguiacdev_conn13@bluebox.lotus.com,Icguiacdev,Conn13,Connections
connection14,icautobvt@1bm,Icguiacdev Conn14,icguiacdev_conn14@bluebox.lotus.com,Icguiacdev,Conn14,Connections
connection15,icautobvt@1bm,Icguiacdev Conn15,icguiacdev_conn15@bluebox.lotus.com,Icguiacdev,Conn15,Connections
connection16,icautobvt@1bm,Icguiacdev Conn16,icguiacdev_conn16@bluebox.lotus.com,Icguiacdev,Conn16,Connections
connection17,icautobvt@1bm,Icguiacdev Conn17,icguiacdev_conn17@bluebox.lotus.com,Icguiacdev,Conn17,Connections
connection18,icautobvt@1bm,Icguiacdev Conn18,icguiacdev_conn18@bluebox.lotus.com,Icguiacdev,Conn18,Connections
connection19,icautobvt@1bm,Icguiacdev Conn19,icguiacdev_conn19@bluebox.lotus.com,Icguiacdev,Conn19,Connections
connection20,icautobvt@1bm,Icguiacdev Conn20,icguiacdev_conn20@bluebox.lotus.com,Icguiacdev,Conn20,Connections
engage01,icautobvt@1bm,Icguiacdev Eng01,icguiacdev_eng01@bluebox.lotus.com,Icguiacdev,Eng01,Engage
engage02,icautobvt@1bm,Icguiacdev Eng02,icguiacdev_eng02@bluebox.lotus.com,Icguiacdev,Eng02,Engage
engage03,icautobvt@1bm,Icguiacdev Eng03,icguiacdev_eng03@bluebox.lotus.com,Icguiacdev,Eng03,Engage
engage04,icautobvt@1bm,Icguiacdev Eng04,icguiacdev_eng04@bluebox.lotus.com,Icguiacdev,Eng04,Engage
engage05,icautobvt@1bm,Icguiacdev Eng05,icguiacdev_eng05@bluebox.lotus.com,Icguiacdev,Eng05,Engage
engage06,icautobvt@1bm,Icguiacdev Eng06,icguiacdev_eng06@bluebox.lotus.com,Icguiacdev,Eng06,Engage
engage07,icautobvt@1bm,Icguiacdev Eng07,icguiacdev_eng07@bluebox.lotus.com,Icguiacdev,Eng07,Engage
engage08,icautobvt@1bm,Icguiacdev Eng08,icguiacdev_eng08@bluebox.lotus.com,Icguiacdev,Eng08,Engage
engage09,icautobvt@1bm,Icguiacdev Eng09,icguiacdev_eng09@bluebox.lotus.com,Icguiacdev,Eng09,Engage
engage10,icautobvt@1bm,Icguiacdev Eng10,icguiacdev_eng10@bluebox.lotus.com,Icguiacdev,Eng10,Engage
#admin,passw0rd-TJB,icauto acdev,icautoacdev@bluebox.lotus.com,icauto,acdev,Admin
