uid,password,display name,email,first name,last name,members
connection01,icautobvt@1bm,Icguiacdev1 Conn01,icguiacdev1_conn01@bluebox.lotus.com,Icguiacdev1,Conn01,Connections
connection02,icautobvt@1bm,Icguiacdev1 Conn02,icguiacdev1_conn02@bluebox.lotus.com,Icguiacdev1,Conn02,Connections
connection03,icautobvt@1bm,Icguiacdev1 Conn03,icguiacdev1_conn03@bluebox.lotus.com,Icguiacdev1,Conn03,Connections
connection04,icautobvt@1bm,Icguiacdev1 Conn04,icguiacdev1_conn04@bluebox.lotus.com,Icguiacdev1,Conn04,Connections
connection05,icautobvt@1bm,Icguiacdev1 Conn05,icguiacdev1_conn05@bluebox.lotus.com,Icguiacdev1,Conn05,Connections
connection06,icautobvt@1bm,Icguiacdev1 Conn06,icguiacdev1_conn06@bluebox.lotus.com,Icguiacdev1,Conn06,Connections
connection07,icautobvt@1bm,Icguiacdev1 Conn07,icguiacdev1_conn07@bluebox.lotus.com,Icguiacdev1,Conn07,Connections
connection08,icautobvt@1bm,Icguiacdev1 Conn08,icguiacdev1_conn08@bluebox.lotus.com,Icguiacdev1,Conn08,Connections
connection09,icautobvt@1bm,Icguiacdev1 Conn09,icguiacdev1_conn09@bluebox.lotus.com,Icguiacdev1,Conn09,Connections
connection10,icautobvt@1bm,Icguiacdev1 Conn10,icguiacdev1_conn10@bluebox.lotus.com,Icguiacdev1,Conn10,Connections
connection11,icautobvt@1bm,Icguiacdev1 Conn11,icguiacdev1_conn11@bluebox.lotus.com,Icguiacdev1,Conn11,Connections
connection12,icautobvt@1bm,Icguiacdev1 Conn12,icguiacdev1_conn12@bluebox.lotus.com,Icguiacdev1,Conn12,Connections
connection13,icautobvt@1bm,Icguiacdev1 Conn13,icguiacdev1_conn13@bluebox.lotus.com,Icguiacdev1,Conn13,Connections
connection14,icautobvt@1bm,Icguiacdev1 Conn14,icguiacdev1_conn14@bluebox.lotus.com,Icguiacdev1,Conn14,Connections
connection15,icautobvt@1bm,Icguiacdev1 Conn15,icguiacdev1_conn15@bluebox.lotus.com,Icguiacdev1,Conn15,Connections
connection16,icautobvt@1bm,Icguiacdev1 Conn16,icguiacdev1_conn16@bluebox.lotus.com,Icguiacdev1,Conn16,Connections
connection17,icautobvt@1bm,Icguiacdev1 Conn17,icguiacdev1_conn17@bluebox.lotus.com,Icguiacdev1,Conn17,Connections
connection18,icautobvt@1bm,Icguiacdev1 Conn18,icguiacdev1_conn18@bluebox.lotus.com,Icguiacdev1,Conn18,Connections
connection19,icautobvt@1bm,Icguiacdev1 Conn19,icguiacdev1_conn19@bluebox.lotus.com,Icguiacdev1,Conn19,Connections
connection20,icautobvt@1bm,Icguiacdev1 Conn20,icguiacdev1_conn20@bluebox.lotus.com,Icguiacdev1,Conn20,Connections
engage01,icautobvt@1bm,Icguiacdev1 Eng01,icguiacdev1_eng01@bluebox.lotus.com,Icguiacdev1,Eng01,Engage
engage02,icautobvt@1bm,Icguiacdev1 Eng02,icguiacdev1_eng02@bluebox.lotus.com,Icguiacdev1,Eng02,Engage
engage03,icautobvt@1bm,Icguiacdev1 Eng03,icguiacdev1_eng03@bluebox.lotus.com,Icguiacdev1,Eng03,Engage
engage04,icautobvt@1bm,Icguiacdev1 Eng04,icguiacdev1_eng04@bluebox.lotus.com,Icguiacdev1,Eng04,Engage
engage05,icautobvt@1bm,Icguiacdev1 Eng05,icguiacdev1_eng05@bluebox.lotus.com,Icguiacdev1,Eng05,Engage
engage06,icautobvt@1bm,Icguiacdev1 Eng06,icguiacdev1_eng06@bluebox.lotus.com,Icguiacdev1,Eng06,Engage
engage07,icautobvt@1bm,Icguiacdev1 Eng07,icguiacdev1_eng07@bluebox.lotus.com,Icguiacdev1,Eng07,Engage
engage08,icautobvt@1bm,Icguiacdev1 Eng08,icguiacdev1_eng08@bluebox.lotus.com,Icguiacdev1,Eng08,Engage
engage09,icautobvt@1bm,Icguiacdev1 Eng09,icguiacdev1_eng09@bluebox.lotus.com,Icguiacdev1,Eng09,Engage
engage10,icautobvt@1bm,Icguiacdev1 Eng10,icguiacdev1_eng10@bluebox.lotus.com,Icguiacdev1,Eng10,Engage
#admin,passw0rd-TJB,icauto acdev1,icautoacdev1@bluebox.lotus.com,icauto,acdev1,Admin
#guest,passw0rd-TJB,Amy acdev1Guest1028,aacdev1guest1028@bluebox.lotus.com,Amy,acdev1Guest1028,guest
