uid,password,display name,email,first name,last name,members
connection01,icautobvt@1bm,Icguibht5 Conn01,icguibht5_conn01@bluebox.lotus.com,Icguibht5,Conn01,Connections
connection02,icautobvt@1bm,Icguibht5 Conn02,icguibht5_conn02@bluebox.lotus.com,Icguibht5,Conn02,Connections
connection03,icautobvt@1bm,Icguibht5 Conn03,icguibht5_conn03@bluebox.lotus.com,Icguibht5,Conn03,Connections
connection04,icautobvt@1bm,Icguibht5 Conn04,icguibht5_conn04@bluebox.lotus.com,Icguibht5,Conn04,Connections
connection05,icautobvt@1bm,Icguibht5 Conn05,icguibht5_conn05@bluebox.lotus.com,Icguibht5,Conn05,Connections
connection06,icautobvt@1bm,Icguibht5 Conn06,icguibht5_conn06@bluebox.lotus.com,Icguibht5,Conn06,Connections
connection07,icautobvt@1bm,Icguibht5 Conn07,icguibht5_conn07@bluebox.lotus.com,Icguibht5,Conn07,Connections
connection08,icautobvt@1bm,Icguibht5 Conn08,icguibht5_conn08@bluebox.lotus.com,Icguibht5,Conn08,Connections
connection09,icautobvt@1bm,Icguibht5 Conn09,icguibht5_conn09@bluebox.lotus.com,Icguibht5,Conn09,Connections
connection10,icautobvt@1bm,Icguibht5 Conn10,icguibht5_conn10@bluebox.lotus.com,Icguibht5,Conn10,Connections
connection11,icautobvt@1bm,Icguibht5 Conn11,icguibht5_conn11@bluebox.lotus.com,Icguibht5,Conn11,Connections
connection12,icautobvt@1bm,Icguibht5 Conn12,icguibht5_conn12@bluebox.lotus.com,Icguibht5,Conn12,Connections
connection13,icautobvt@1bm,Icguibht5 Conn13,icguibht5_conn13@bluebox.lotus.com,Icguibht5,Conn13,Connections
connection14,icautobvt@1bm,Icguibht5 Conn14,icguibht5_conn14@bluebox.lotus.com,Icguibht5,Conn14,Connections
connection15,icautobvt@1bm,Icguibht5 Conn15,icguibht5_conn15@bluebox.lotus.com,Icguibht5,Conn15,Connections
connection16,icautobvt@1bm,Icguibht5 Conn16,icguibht5_conn16@bluebox.lotus.com,Icguibht5,Conn16,Connections
connection17,icautobvt@1bm,Icguibht5 Conn17,icguibht5_conn17@bluebox.lotus.com,Icguibht5,Conn17,Connections
connection18,icautobvt@1bm,Icguibht5 Conn18,icguibht5_conn18@bluebox.lotus.com,Icguibht5,Conn18,Connections
connection19,icautobvt@1bm,Icguibht5 Conn19,icguibht5_conn19@bluebox.lotus.com,Icguibht5,Conn19,Connections
connection20,icautobvt@1bm,Icguibht5 Conn20,icguibht5_conn20@bluebox.lotus.com,Icguibht5,Conn20,Connections
engage01,icautobvt@1bm,Icguibht5 Eng01,icguibht5_eng01@bluebox.lotus.com,Icguibht5,Eng01,Engage
engage02,icautobvt@1bm,Icguibht5 Eng02,icguibht5_eng02@bluebox.lotus.com,Icguibht5,Eng02,Engage
engage03,icautobvt@1bm,Icguibht5 Eng03,icguibht5_eng03@bluebox.lotus.com,Icguibht5,Eng03,Engage
engage04,icautobvt@1bm,Icguibht5 Eng04,icguibht5_eng04@bluebox.lotus.com,Icguibht5,Eng04,Engage
engage05,icautobvt@1bm,Icguibht5 Eng05,icguibht5_eng05@bluebox.lotus.com,Icguibht5,Eng05,Engage
engage06,icautobvt@1bm,Icguibht5 Eng06,icguibht5_eng06@bluebox.lotus.com,Icguibht5,Eng06,Engage
engage07,icautobvt@1bm,Icguibht5 Eng07,icguibht5_eng07@bluebox.lotus.com,Icguibht5,Eng07,Engage
engage08,icautobvt@1bm,Icguibht5 Eng08,icguibht5_eng08@bluebox.lotus.com,Icguibht5,Eng08,Engage
engage09,icautobvt@1bm,Icguibht5 Eng09,icguibht5_eng09@bluebox.lotus.com,Icguibht5,Eng09,Engage
engage10,icautobvt@1bm,Icguibht5 Eng10,icguibht5_eng10@bluebox.lotus.com,Icguibht5,Eng10,Engage
#admin,passw0rd-TJB,icauto bht5,icautobht5@bluebox.lotus.com,icauto,bht5,Admin
#guest,passw0rd-TJB,Amy bht5Guest1028,abht5guest1028@bluebox.lotus.com,Amy,bht5Guest1028,guest
#connection4,passw0rd,Amy Jones0430,ajones0430@bluebox.lotus.com,Amy,Jones0430,ext1
#engage,passw0rd,Amy Jones0431,ajones0431@bluebox.lotus.com,Amy,Jones0431,ext2
