uid,password,display name,email,first name,last name,members
connection01,icautobvt@1bm,Icguidaily Conn01,icguidaily_conn01@bluebox.lotus.com,Icguidaily,Conn01,Connections
connection02,icautobvt@1bm,Icguidaily Conn02,icguidaily_conn02@bluebox.lotus.com,Icguidaily,Conn02,Connections
connection03,icautobvt@1bm,Icguidaily Conn03,icguidaily_conn03@bluebox.lotus.com,Icguidaily,Conn03,Connections
connection04,icautobvt@1bm,Icguidaily Conn04,icguidaily_conn04@bluebox.lotus.com,Icguidaily,Conn04,Connections
connection05,icautobvt@1bm,Icguidaily Conn05,icguidaily_conn05@bluebox.lotus.com,Icguidaily,Conn05,Connections
connection06,icautobvt@1bm,Icguidaily Conn06,icguidaily_conn06@bluebox.lotus.com,Icguidaily,Conn06,Connections
connection07,icautobvt@1bm,Icguidaily Conn07,icguidaily_conn07@bluebox.lotus.com,Icguidaily,Conn07,Connections
connection08,icautobvt@1bm,Icguidaily Conn08,icguidaily_conn08@bluebox.lotus.com,Icguidaily,Conn08,Connections
connection09,icautobvt@1bm,Icguidaily Conn09,icguidaily_conn09@bluebox.lotus.com,Icguidaily,Conn09,Connections
connection10,icautobvt@1bm,Icguidaily Conn10,icguidaily_conn10@bluebox.lotus.com,Icguidaily,Conn10,Connections
connection11,icautobvt@1bm,Icguidaily Conn11,icguidaily_conn11@bluebox.lotus.com,Icguidaily,Conn11,Connections
connection12,icautobvt@1bm,Icguidaily Conn12,icguidaily_conn12@bluebox.lotus.com,Icguidaily,Conn12,Connections
connection13,icautobvt@1bm,Icguidaily Conn13,icguidaily_conn13@bluebox.lotus.com,Icguidaily,Conn13,Connections
connection14,icautobvt@1bm,Icguidaily Conn14,icguidaily_conn14@bluebox.lotus.com,Icguidaily,Conn14,Connections
connection15,icautobvt@1bm,Icguidaily Conn15,icguidaily_conn15@bluebox.lotus.com,Icguidaily,Conn15,Connections
connection16,icautobvt@1bm,Icguidaily Conn16,icguidaily_conn16@bluebox.lotus.com,Icguidaily,Conn16,Connections
connection17,icautobvt@1bm,Icguidaily Conn17,icguidaily_conn17@bluebox.lotus.com,Icguidaily,Conn17,Connections
connection18,icautobvt@1bm,Icguidaily Conn18,icguidaily_conn18@bluebox.lotus.com,Icguidaily,Conn18,Connections
connection19,icautobvt@1bm,Icguidaily Conn19,icguidaily_conn19@bluebox.lotus.com,Icguidaily,Conn19,Connections
connection20,icautobvt@1bm,Icguidaily Conn20,icguidaily_conn20@bluebox.lotus.com,Icguidaily,Conn20,Connections
engage01,icautobvt@1bm,Icguidaily Eng01,icguidaily_eng01@bluebox.lotus.com,Icguidaily,Eng01,Engage
engage02,icautobvt@1bm,Icguidaily Eng02,icguidaily_eng02@bluebox.lotus.com,Icguidaily,Eng02,Engage
engage03,icautobvt@1bm,Icguidaily Eng03,icguidaily_eng03@bluebox.lotus.com,Icguidaily,Eng03,Engage
engage04,icautobvt@1bm,Icguidaily Eng04,icguidaily_eng04@bluebox.lotus.com,Icguidaily,Eng04,Engage
engage05,icautobvt@1bm,Icguidaily Eng05,icguidaily_eng05@bluebox.lotus.com,Icguidaily,Eng05,Engage
engage06,icautobvt@1bm,Icguidaily Eng06,icguidaily_eng06@bluebox.lotus.com,Icguidaily,Eng06,Engage
engage07,icautobvt@1bm,Icguidaily Eng07,icguidaily_eng07@bluebox.lotus.com,Icguidaily,Eng07,Engage
engage08,icautobvt@1bm,Icguidaily Eng08,icguidaily_eng08@bluebox.lotus.com,Icguidaily,Eng08,Engage
engage09,icautobvt@1bm,Icguidaily Eng09,icguidaily_eng09@bluebox.lotus.com,Icguidaily,Eng09,Engage
engage10,icautobvt@1bm,Icguidaily Eng10,icguidaily_eng10@bluebox.lotus.com,Icguidaily,Eng10,Engage
#admin,passw0rd-TJB,icauto daily,icautodaily@bluebox.lotus.com,icauto,daily,Admin
