uid,password,display name,email,first name,last name,members
scint_lcscdev00@bluebox.lotus.com,passw0rd,Amy Jones00,scint_lcscdev00@bluebox.lotus.com,Amy,Jones00,Connections
scint_lcscdev01@bluebox.lotus.com,passw0rd,Amy Jones01,scint_lcscdev01@bluebox.lotus.com,Amy,Jones01,Connections
scint_lcscdev02@bluebox.lotus.com,passw0rd,Amy Jones02,scint_lcscdev02@bluebox.lotus.com,Amy,Jones02,Connections
scint_lcscdev03@bluebox.lotus.com,passw0rd,Amy Jones03,scint_lcscdev03@bluebox.lotus.com,Amy,Jones03,Connections
scint_lcscdev04@bluebox.lotus.com,passw0rd,Amy Jones04,scint_lcscdev04@bluebox.lotus.com,Amy,Jones04,Connections
scint_lcscdev05@bluebox.lotus.com,passw0rd,Amy Jones05,scint_lcscdev05@bluebox.lotus.com,Amy,Jones05,Connections
scint_lcscdev06@bluebox.lotus.com,passw0rd,Amy Jones06,scint_lcscdev06@bluebox.lotus.com,Amy,Jones06,Connections
scint_lcscdev07@bluebox.lotus.com,passw0rd,Amy Jones07,scint_lcscdev07@bluebox.lotus.com,Amy,Jones07,Connections
scint_lcscdev08@bluebox.lotus.com,passw0rd,Amy Jones08,scint_lcscdev08@bluebox.lotus.com,Amy,Jones08,Connections
scint_lcscdev09@bluebox.lotus.com,passw0rd,Amy Jones09,scint_lcscdev09@bluebox.lotus.com,Amy,Jones09,Connections
scint_lcscdev10@bluebox.lotus.com,passw0rd,Amy Jones10,scint_lcscdev10@bluebox.lotus.com,Amy,Jones10,Connections
scint_lcscdev11@bluebox.lotus.com,passw0rd,Amy Jones11,scint_lcscdev11@bluebox.lotus.com,Amy,Jones11,Connections
scint_lcscdev12@bluebox.lotus.com,passw0rd,Amy Jones12,scint_lcscdev12@bluebox.lotus.com,Amy,Jones12,Connections
scint_lcscdev13@bluebox.lotus.com,passw0rd,Amy Jones13,scint_lcscdev13@bluebox.lotus.com,Amy,Jones13,Connections
scint_lcscdev14@bluebox.lotus.com,passw0rd,Amy Jones14,scint_lcscdev14@bluebox.lotus.com,Amy,Jones14,Connections
scint_lcscdev15@bluebox.lotus.com,passw0rd,Amy Jones15,scint_lcscdev15@bluebox.lotus.com,Amy,Jones15,Connections
scint_lcscdev16@bluebox.lotus.com,passw0rd,Amy Jones16,scint_lcscdev16@bluebox.lotus.com,Amy,Jones16,Connections
scint_lcscdev17@bluebox.lotus.com,passw0rd,Amy Jones17,scint_lcscdev17@bluebox.lotus.com,Amy,Jones17,Connections
scint_lcscdev18@bluebox.lotus.com,passw0rd,Amy Jones18,scint_lcscdev18@bluebox.lotus.com,Amy,Jones18,Connections
scint_lcscdev19@bluebox.lotus.com,passw0rd,Amy Jones19,scint_lcscdev19@bluebox.lotus.com,Amy,Jones19,Connections
scint_lcscdev20@bluebox.lotus.com,passw0rd,Amy Jones20,scint_lcscdev20@bluebox.lotus.com,Amy,Jones20,Engage
scint_lcscdev21@bluebox.lotus.com,passw0rd,Amy Jones21,scint_lcscdev21@bluebox.lotus.com,Amy,Jones21,Engage
scint_lcscdev22@bluebox.lotus.com,passw0rd,Amy Jones22,scint_lcscdev22@bluebox.lotus.com,Amy,Jones22,Engage
scint_lcscdev23@bluebox.lotus.com,passw0rd,Amy Jones23,scint_lcscdev23@bluebox.lotus.com,Amy,Jones23,Engage
scint_lcscdev24@bluebox.lotus.com,passw0rd,Amy Jones24,scint_lcscdev24@bluebox.lotus.com,Amy,Jones24,Engage
scint_lcscdev25@bluebox.lotus.com,passw0rd,Amy Jones25,scint_lcscdev25@bluebox.lotus.com,Amy,Jones25,Engage
scint_lcscdev26@bluebox.lotus.com,passw0rd,Amy Jones26,scint_lcscdev26@bluebox.lotus.com,Amy,Jones26,Engage
scint_lcscdev27@bluebox.lotus.com,passw0rd,Amy Jones27,scint_lcscdev27@bluebox.lotus.com,Amy,Jones27,Engage
scint_lcscdev28@bluebox.lotus.com,passw0rd,Amy Jones28,scint_lcscdev28@bluebox.lotus.com,Amy,Jones28,Engage
scint_lcscdev29@bluebox.lotus.com,passw0rd,Amy Jones29,scint_lcscdev29@bluebox.lotus.com,Amy,Jones29,search
#guest,passw0rd-TJB,Guest20141212 LCSCDev,lcscdev_guest20141212@bluebox.lotus.com,Guest20141212,LCSCDev,guest
#scint_lcscdev_admin@bluebox.lotus.com,passw0rd-TJB,scint lcscdev,scint_lcscdev_admin@bluebox.lotus.com,scint,lcscdev,admin

